EMPTY findGo
EMPTY tasks/AirdropNameVoucher
EMPTY tasks/addCatalog
EMPTY tasks/checkDapperTx
EMPTY tasks/client
EMPTY tasks/collectionDataTest
EMPTY tasks/dandy
EMPTY tasks/dapperMarket
EMPTY tasks/event
EMPTY tasks/findDapperMarket
EMPTY tasks/mainnetMarket
EMPTY tasks/mainnetMarketListingEnquiry
EMPTY tasks/nfg
EMPTY tasks/partyMansion
EMPTY tasks/registerGift
EMPTY tasks/testnetMarket
EMPTY tasks/testnetUser
EMPTY utils
    test_utils.go:531: 
        	Error Trace:	/Users/bjartek/go/pkg/mod/github.com/bjartek/overflow@v1.14.1-0.20240201172206-df28bd63430b/result.go:167
        	            				/Users/bjartek/dev/find/test_utils.go:531
        	            				/Users/bjartek/dev/find/market_auction_soft_test.go:69
        	Error:      	Received unexpected error:
        	            	execution error code 1: [Error Code: 1101] error caused by: 1 error occurred:
        	            		* transaction execute failed: [Error Code: 1101] cadence runtime error: Execution failed:
        	            	  --> 40a49233da5e47a2ae34dcf7d072f53bb3195554ad1558983c3c8c70a2fdc41f:79:16
        	            	   |
        	            	79 | 		self.pointer= FindViews.createViewReadPointer(address: address, path:nft.publicPath, id: item.getItemID())
        	            	   | 		              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
        	            	
        	            	error: unexpectedly found nil while forcing an Optional value
        	            	   --> 179b6b1cb6755e31.FindViews:351:17
        	            	    |
        	            	351 |         let cap=	getAccount(address).capabilities.get<&{ViewResolver.ResolverCollection}>(path)!
        	            	    |                 	^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
        	            	
        	            	
        	            	
        	            	transaction=./transactions/bidMarketAuctionSoftDapper.cdc
        	            	github.com/bjartek/overflow.OverflowInteractionBuilder.Send
        	            		/Users/bjartek/go/pkg/mod/github.com/bjartek/overflow@v1.14.1-0.20240201172206-df28bd63430b/interaction_builder.go:638
        	            	github.com/bjartek/overflow.(*OverflowState).Tx
        	            		/Users/bjartek/go/pkg/mod/github.com/bjartek/overflow@v1.14.1-0.20240201172206-df28bd63430b/state.go:585
        	            	github.com/findonflow/find.(*OverflowTestUtils).auctionBidMarketSoft
        	            		/Users/bjartek/dev/find/test_utils.go:525
        	            	github.com/findonflow/find.TestMarketAuctionSoft.func3
        	            		/Users/bjartek/dev/find/market_auction_soft_test.go:69
        	            	testing.tRunner
        	            		/opt/homebrew/Cellar/go/1.21.6/libexec/src/testing/testing.go:1595
        	            	runtime.goexit
        	            		/opt/homebrew/Cellar/go/1.21.6/libexec/src/runtime/asm_arm64.s:1197
        	Test:       	TestMarketAuctionSoft
    test_utils.go:532: 
        	Error Trace:	/Users/bjartek/go/pkg/mod/github.com/bjartek/overflow@v1.14.1-0.20240201172206-df28bd63430b/result.go:208
        	            				/Users/bjartek/dev/find/test_utils.go:532
        	            				/Users/bjartek/dev/find/market_auction_soft_test.go:69
        	Error:      	event not found FindMarketAuctionSoft.EnglishAuction, overflow.OverflowEvent{
        	            	  Id: "",
        	            	  Fields: map[string]interface {}{
        	            	    "amount": 15.0,
        	            	    "buyer": "0xe2f72218abeec2b9",
        	            	    "id": 9943947977234055170,
        	            	    "status": "active_ongoing",
        	            	  },
        	            	  TransactionId: "",
        	            	  EventIndex: 0,
        	            	  Name: "",
        	            	  Addresses: map[string][]string(nil),
        	            	}
        	Test:       	TestMarketAuctionSoft
    test_utils.go:532: === Events ===
    test_utils.go:491: 
        	Error Trace:	/Users/bjartek/dev/find/test_utils.go:491
        	            				/Users/bjartek/dev/find/market_auction_soft_test.go:71
        	Error:      	Not equal: 
        	            	expected: "finished_completed"
        	            	actual  : "active_listed"
        	            	
        	            	Diff:
        	            	--- Expected
        	            	+++ Actual
        	            	@@ -1 +1 @@
        	            	-finished_completed
        	            	+active_listed
        	Test:       	TestMarketAuctionSoft
    test_utils.go:492: 
        	Error Trace:	/Users/bjartek/dev/find/test_utils.go:492
        	            				/Users/bjartek/dev/find/market_auction_soft_test.go:71
        	Error:      	Not equal: 
        	            	expected: 15
        	            	actual  : 10
        	Test:       	TestMarketAuctionSoft
    test_utils.go:853: 
        	Error Trace:	/Users/bjartek/go/pkg/mod/github.com/bjartek/overflow@v1.14.1-0.20240201172206-df28bd63430b/result.go:167
        	            				/Users/bjartek/dev/find/test_utils.go:853
        	            				/Users/bjartek/dev/find/market_auction_soft_test.go:72
        	Error:      	Received unexpected error:
        	            	execution error code 1: [Error Code: 1101] error caused by: 1 error occurred:
        	            		* transaction execute failed: [Error Code: 1101] cadence runtime error: Execution failed:
        	            	error: panic: This account does not have a bid collection
        	            	  --> 688658f16ec780eebc56372a8ee894753ec8609b26dbad2da12bd244b1aa7e1f:19:117
        	            	   |
        	            	19 |         self.bidsReference= account.storage.borrow<&FindMarketAuctionSoft.MarketBidCollection>(from: storagePath) ?? panic("This account does not have a bid collection")
        	            	   |                                                                                                                      ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
        	            	
        	            	
        	            	
        	            	transaction=./transactions/fulfillMarketAuctionSoftDapper.cdc
        	            	github.com/bjartek/overflow.OverflowInteractionBuilder.Send
        	            		/Users/bjartek/go/pkg/mod/github.com/bjartek/overflow@v1.14.1-0.20240201172206-df28bd63430b/interaction_builder.go:638
        	            	github.com/bjartek/overflow.(*OverflowState).Tx
        	            		/Users/bjartek/go/pkg/mod/github.com/bjartek/overflow@v1.14.1-0.20240201172206-df28bd63430b/state.go:585
        	            	github.com/findonflow/find.(*OverflowTestUtils).fulfillMarketAuctionSoft
        	            		/Users/bjartek/dev/find/test_utils.go:847
        	            	github.com/findonflow/find.TestMarketAuctionSoft.func3
        	            		/Users/bjartek/dev/find/market_auction_soft_test.go:72
        	            	testing.tRunner
        	            		/opt/homebrew/Cellar/go/1.21.6/libexec/src/testing/testing.go:1595
        	            	runtime.goexit
        	            		/opt/homebrew/Cellar/go/1.21.6/libexec/src/runtime/asm_arm64.s:1197
        	Test:       	TestMarketAuctionSoft
    test_utils.go:854: 
        	Error Trace:	/Users/bjartek/go/pkg/mod/github.com/bjartek/overflow@v1.14.1-0.20240201172206-df28bd63430b/result.go:208
        	            				/Users/bjartek/dev/find/test_utils.go:854
        	            				/Users/bjartek/dev/find/market_auction_soft_test.go:72
        	Error:      	event not found FindMarketAuctionSoft.EnglishAuction, overflow.OverflowEvent{
        	            	  Id: "",
        	            	  Fields: map[string]interface {}{
        	            	    "amount": 15.0,
        	            	    "buyer": "0xe2f72218abeec2b9",
        	            	    "id": 9943947977234055170,
        	            	    "status": "sold",
        	            	  },
        	            	  TransactionId: "",
        	            	  EventIndex: 0,
        	            	  Name: "",
        	            	  Addresses: map[string][]string(nil),
        	            	}
        	Test:       	TestMarketAuctionSoft
    test_utils.go:854: === Events ===
    test_utils.go:531: 
        	Error Trace:	/Users/bjartek/go/pkg/mod/github.com/bjartek/overflow@v1.14.1-0.20240201172206-df28bd63430b/result.go:167
        	            				/Users/bjartek/dev/find/test_utils.go:531
        	            				/Users/bjartek/dev/find/market_auction_soft_test.go:78
        	Error:      	Received unexpected error:
        	            	execution error code 1: [Error Code: 1101] error caused by: 1 error occurred:
        	            		* transaction execute failed: [Error Code: 1101] cadence runtime error: Execution failed:
        	            	  --> 80a27da454238ad7f40b30bedc0015d1ec3c0face14fa22dc65254ca260198a4:79:16
        	            	   |
        	            	79 | 		self.pointer= FindViews.createViewReadPointer(address: address, path:nft.publicPath, id: item.getItemID())
        	            	   | 		              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
        	            	
        	            	error: unexpectedly found nil while forcing an Optional value
        	            	   --> 179b6b1cb6755e31.FindViews:351:17
        	            	    |
        	            	351 |         let cap=	getAccount(address).capabilities.get<&{ViewResolver.ResolverCollection}>(path)!
        	            	    |                 	^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
        	            	
        	            	
        	            	
        	            	transaction=./transactions/bidMarketAuctionSoftDapper.cdc
        	            	github.com/bjartek/overflow.OverflowInteractionBuilder.Send
        	            		/Users/bjartek/go/pkg/mod/github.com/bjartek/overflow@v1.14.1-0.20240201172206-df28bd63430b/interaction_builder.go:638
        	            	github.com/bjartek/overflow.(*OverflowState).Tx
        	            		/Users/bjartek/go/pkg/mod/github.com/bjartek/overflow@v1.14.1-0.20240201172206-df28bd63430b/state.go:585
        	            	github.com/findonflow/find.(*OverflowTestUtils).auctionBidMarketSoft
        	            		/Users/bjartek/dev/find/test_utils.go:525
        	            	github.com/findonflow/find.TestMarketAuctionSoft.func4
        	            		/Users/bjartek/dev/find/market_auction_soft_test.go:78
        	            	testing.tRunner
        	            		/opt/homebrew/Cellar/go/1.21.6/libexec/src/testing/testing.go:1595
        	            	runtime.goexit
        	            		/opt/homebrew/Cellar/go/1.21.6/libexec/src/runtime/asm_arm64.s:1197
        	Test:       	TestMarketAuctionSoft
    test_utils.go:532: 
        	Error Trace:	/Users/bjartek/go/pkg/mod/github.com/bjartek/overflow@v1.14.1-0.20240201172206-df28bd63430b/result.go:208
        	            				/Users/bjartek/dev/find/test_utils.go:532
        	            				/Users/bjartek/dev/find/market_auction_soft_test.go:78
        	Error:      	event not found FindMarketAuctionSoft.EnglishAuction, overflow.OverflowEvent{
        	            	  Id: "",
        	            	  Fields: map[string]interface {}{
        	            	    "amount": 15.0,
        	            	    "buyer": "0xe2f72218abeec2b9",
        	            	    "id": 9943947977234055170,
        	            	    "status": "active_ongoing",
        	            	  },
        	            	  TransactionId: "",
        	            	  EventIndex: 0,
        	            	  Name: "",
        	            	  Addresses: map[string][]string(nil),
        	            	}
        	Test:       	TestMarketAuctionSoft
    test_utils.go:532: === Events ===
    test_utils.go:491: 
        	Error Trace:	/Users/bjartek/dev/find/test_utils.go:491
        	            				/Users/bjartek/dev/find/market_auction_soft_test.go:80
        	Error:      	Not equal: 
        	            	expected: "finished_completed"
        	            	actual  : "active_listed"
        	            	
        	            	Diff:
        	            	--- Expected
        	            	+++ Actual
        	            	@@ -1 +1 @@
        	            	-finished_completed
        	            	+active_listed
        	Test:       	TestMarketAuctionSoft
    test_utils.go:492: 
        	Error Trace:	/Users/bjartek/dev/find/test_utils.go:492
        	            				/Users/bjartek/dev/find/market_auction_soft_test.go:80
        	Error:      	Not equal: 
        	            	expected: 15
        	            	actual  : 10
        	Test:       	TestMarketAuctionSoft
    test_utils.go:531: 
        	Error Trace:	/Users/bjartek/go/pkg/mod/github.com/bjartek/overflow@v1.14.1-0.20240201172206-df28bd63430b/result.go:167
        	            				/Users/bjartek/dev/find/test_utils.go:531
        	            				/Users/bjartek/dev/find/market_auction_soft_test.go:125
        	Error:      	Received unexpected error:
        	            	execution error code 1: [Error Code: 1101] error caused by: 1 error occurred:
        	            		* transaction execute failed: [Error Code: 1101] cadence runtime error: Execution failed:
        	            	  --> c243e31df534fe56a69cf4af7ab67fd47840f6d0e45e8b8c4695eb8e4944785b:79:16
        	            	   |
        	            	79 | 		self.pointer= FindViews.createViewReadPointer(address: address, path:nft.publicPath, id: item.getItemID())
        	            	   | 		              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
        	            	
        	            	error: unexpectedly found nil while forcing an Optional value
        	            	   --> 179b6b1cb6755e31.FindViews:351:17
        	            	    |
        	            	351 |         let cap=	getAccount(address).capabilities.get<&{ViewResolver.ResolverCollection}>(path)!
        	            	    |                 	^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
        	            	
        	            	
        	            	
        	            	transaction=./transactions/bidMarketAuctionSoftDapper.cdc
        	            	github.com/bjartek/overflow.OverflowInteractionBuilder.Send
        	            		/Users/bjartek/go/pkg/mod/github.com/bjartek/overflow@v1.14.1-0.20240201172206-df28bd63430b/interaction_builder.go:638
        	            	github.com/bjartek/overflow.(*OverflowState).Tx
        	            		/Users/bjartek/go/pkg/mod/github.com/bjartek/overflow@v1.14.1-0.20240201172206-df28bd63430b/state.go:585
        	            	github.com/findonflow/find.(*OverflowTestUtils).auctionBidMarketSoft
        	            		/Users/bjartek/dev/find/test_utils.go:525
        	            	github.com/findonflow/find.TestMarketAuctionSoft.func8
        	            		/Users/bjartek/dev/find/market_auction_soft_test.go:125
        	            	testing.tRunner
        	            		/opt/homebrew/Cellar/go/1.21.6/libexec/src/testing/testing.go:1595
        	            	runtime.goexit
        	            		/opt/homebrew/Cellar/go/1.21.6/libexec/src/runtime/asm_arm64.s:1197
        	Test:       	TestMarketAuctionSoft
    test_utils.go:532: 
        	Error Trace:	/Users/bjartek/go/pkg/mod/github.com/bjartek/overflow@v1.14.1-0.20240201172206-df28bd63430b/result.go:208
        	            				/Users/bjartek/dev/find/test_utils.go:532
        	            				/Users/bjartek/dev/find/market_auction_soft_test.go:125
        	Error:      	event not found FindMarketAuctionSoft.EnglishAuction, overflow.OverflowEvent{
        	            	  Id: "",
        	            	  Fields: map[string]interface {}{
        	            	    "amount": 15.0,
        	            	    "buyer": "0xe2f72218abeec2b9",
        	            	    "id": 9943947977234055170,
        	            	    "status": "active_ongoing",
        	            	  },
        	            	  TransactionId: "",
        	            	  EventIndex: 0,
        	            	  Name: "",
        	            	  Addresses: map[string][]string(nil),
        	            	}
        	Test:       	TestMarketAuctionSoft
    test_utils.go:532: === Events ===
    test_utils.go:459: 
        	Error Trace:	/Users/bjartek/go/pkg/mod/github.com/bjartek/overflow@v1.14.1-0.20240201172206-df28bd63430b/result.go:167
        	            				/Users/bjartek/dev/find/test_utils.go:459
        	            				/Users/bjartek/dev/find/market_auction_soft_test.go:126
        	Error:      	Received unexpected error:
        	            	execution error code 1: [Error Code: 1101] error caused by: 1 error occurred:
        	            		* transaction execute failed: [Error Code: 1101] cadence runtime error: Execution failed:
        	            	error: panic: Bid resource does not exist
        	            	  --> f347f0e09c828c52898344eb9f6d4d385c4119372d7312965ea2d0e34b5b0445:15:111
        	            	   |
        	            	15 | 		self.bidsReference= account.storage.borrow<&FindMarketAuctionSoft.MarketBidCollection>(from: storagePath) ?? panic("Bid resource does not exist")
        	            	   | 		                                                                                                             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
        	            	
        	            	
        	            	
        	            	transaction=./transactions/increaseBidMarketAuctionSoft.cdc
        	            	github.com/bjartek/overflow.OverflowInteractionBuilder.Send
        	            		/Users/bjartek/go/pkg/mod/github.com/bjartek/overflow@v1.14.1-0.20240201172206-df28bd63430b/interaction_builder.go:638
        	            	github.com/bjartek/overflow.(*OverflowState).Tx
        	            		/Users/bjartek/go/pkg/mod/github.com/bjartek/overflow@v1.14.1-0.20240201172206-df28bd63430b/state.go:585
        	            	github.com/findonflow/find.(*OverflowTestUtils).increaseAuctionBidMarketSoft
        	            		/Users/bjartek/dev/find/test_utils.go:454
        	            	github.com/findonflow/find.TestMarketAuctionSoft.func8
        	            		/Users/bjartek/dev/find/market_auction_soft_test.go:126
        	            	testing.tRunner
        	            		/opt/homebrew/Cellar/go/1.21.6/libexec/src/testing/testing.go:1595
        	            	runtime.goexit
        	            		/opt/homebrew/Cellar/go/1.21.6/libexec/src/runtime/asm_arm64.s:1197
        	Test:       	TestMarketAuctionSoft
    test_utils.go:460: 
        	Error Trace:	/Users/bjartek/go/pkg/mod/github.com/bjartek/overflow@v1.14.1-0.20240201172206-df28bd63430b/result.go:208
        	            				/Users/bjartek/dev/find/test_utils.go:460
        	            				/Users/bjartek/dev/find/market_auction_soft_test.go:126
        	Error:      	event not found FindMarketAuctionSoft.EnglishAuction, overflow.OverflowEvent{
        	            	  Id: "",
        	            	  Fields: map[string]interface {}{
        	            	    "amount": 20.0,
        	            	    "buyer": "0xe2f72218abeec2b9",
        	            	    "id": 9943947977234055170,
        	            	    "status": "active_ongoing",
        	            	  },
        	            	  TransactionId: "",
        	            	  EventIndex: 0,
        	            	  Name: "",
        	            	  Addresses: map[string][]string(nil),
        	            	}
        	Test:       	TestMarketAuctionSoft
    test_utils.go:460: === Events ===
    test_utils.go:491: 
        	Error Trace:	/Users/bjartek/dev/find/test_utils.go:491
        	            				/Users/bjartek/dev/find/market_auction_soft_test.go:128
        	Error:      	Not equal: 
        	            	expected: "finished_completed"
        	            	actual  : "active_listed"
        	            	
        	            	Diff:
        	            	--- Expected
        	            	+++ Actual
        	            	@@ -1 +1 @@
        	            	-finished_completed
        	            	+active_listed
        	Test:       	TestMarketAuctionSoft
    test_utils.go:492: 
        	Error Trace:	/Users/bjartek/dev/find/test_utils.go:492
        	            				/Users/bjartek/dev/find/market_auction_soft_test.go:128
        	Error:      	Not equal: 
        	            	expected: 20
        	            	actual  : 10
        	Test:       	TestMarketAuctionSoft
    test_utils.go:853: 
        	Error Trace:	/Users/bjartek/go/pkg/mod/github.com/bjartek/overflow@v1.14.1-0.20240201172206-df28bd63430b/result.go:167
        	            				/Users/bjartek/dev/find/test_utils.go:853
        	            				/Users/bjartek/dev/find/market_auction_soft_test.go:129
        	Error:      	Received unexpected error:
        	            	execution error code 1: [Error Code: 1101] error caused by: 1 error occurred:
        	            		* transaction execute failed: [Error Code: 1101] cadence runtime error: Execution failed:
        	            	error: panic: This account does not have a bid collection
        	            	  --> 68f8778a7712d4817e4b3e1a1d7994cdf10735409e2e4a2e8667bc1a9169b05d:19:117
        	            	   |
        	            	19 |         self.bidsReference= account.storage.borrow<&FindMarketAuctionSoft.MarketBidCollection>(from: storagePath) ?? panic("This account does not have a bid collection")
        	            	   |                                                                                                                      ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
        	            	
        	            	
        	            	
        	            	transaction=./transactions/fulfillMarketAuctionSoftDapper.cdc
        	            	github.com/bjartek/overflow.OverflowInteractionBuilder.Send
        	            		/Users/bjartek/go/pkg/mod/github.com/bjartek/overflow@v1.14.1-0.20240201172206-df28bd63430b/interaction_builder.go:638
        	            	github.com/bjartek/overflow.(*OverflowState).Tx
        	            		/Users/bjartek/go/pkg/mod/github.com/bjartek/overflow@v1.14.1-0.20240201172206-df28bd63430b/state.go:585
        	            	github.com/findonflow/find.(*OverflowTestUtils).fulfillMarketAuctionSoft
        	            		/Users/bjartek/dev/find/test_utils.go:847
        	            	github.com/findonflow/find.TestMarketAuctionSoft.func8
        	            		/Users/bjartek/dev/find/market_auction_soft_test.go:129
        	            	testing.tRunner
        	            		/opt/homebrew/Cellar/go/1.21.6/libexec/src/testing/testing.go:1595
        	            	runtime.goexit
        	            		/opt/homebrew/Cellar/go/1.21.6/libexec/src/runtime/asm_arm64.s:1197
        	Test:       	TestMarketAuctionSoft
    test_utils.go:854: 
        	Error Trace:	/Users/bjartek/go/pkg/mod/github.com/bjartek/overflow@v1.14.1-0.20240201172206-df28bd63430b/result.go:208
        	            				/Users/bjartek/dev/find/test_utils.go:854
        	            				/Users/bjartek/dev/find/market_auction_soft_test.go:129
        	Error:      	event not found FindMarketAuctionSoft.EnglishAuction, overflow.OverflowEvent{
        	            	  Id: "",
        	            	  Fields: map[string]interface {}{
        	            	    "amount": 20.0,
        	            	    "buyer": "0xe2f72218abeec2b9",
        	            	    "id": 9943947977234055170,
        	            	    "status": "sold",
        	            	  },
        	            	  TransactionId: "",
        	            	  EventIndex: 0,
        	            	  Name: "",
        	            	  Addresses: map[string][]string(nil),
        	            	}
        	Test:       	TestMarketAuctionSoft
    test_utils.go:854: === Events ===
    test_utils.go:531: 
        	Error Trace:	/Users/bjartek/go/pkg/mod/github.com/bjartek/overflow@v1.14.1-0.20240201172206-df28bd63430b/result.go:167
        	            				/Users/bjartek/dev/find/test_utils.go:531
        	            				/Users/bjartek/dev/find/market_auction_soft_test.go:169
        	Error:      	Received unexpected error:
        	            	execution error code 1: [Error Code: 1101] error caused by: 1 error occurred:
        	            		* transaction execute failed: [Error Code: 1101] cadence runtime error: Execution failed:
        	            	  --> 651f7a432993a970a6329ab004ed0f291543b8b4bfcdc92a5b8dba6e12adcdc1:79:16
        	            	   |
        	            	79 | 		self.pointer= FindViews.createViewReadPointer(address: address, path:nft.publicPath, id: item.getItemID())
        	            	   | 		              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
        	            	
        	            	error: unexpectedly found nil while forcing an Optional value
        	            	   --> 179b6b1cb6755e31.FindViews:351:17
        	            	    |
        	            	351 |         let cap=	getAccount(address).capabilities.get<&{ViewResolver.ResolverCollection}>(path)!
        	            	    |                 	^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
        	            	
        	            	
        	            	
        	            	transaction=./transactions/bidMarketAuctionSoftDapper.cdc
        	            	github.com/bjartek/overflow.OverflowInteractionBuilder.Send
        	            		/Users/bjartek/go/pkg/mod/github.com/bjartek/overflow@v1.14.1-0.20240201172206-df28bd63430b/interaction_builder.go:638
        	            	github.com/bjartek/overflow.(*OverflowState).Tx
        	            		/Users/bjartek/go/pkg/mod/github.com/bjartek/overflow@v1.14.1-0.20240201172206-df28bd63430b/state.go:585
        	            	github.com/findonflow/find.(*OverflowTestUtils).auctionBidMarketSoft
        	            		/Users/bjartek/dev/find/test_utils.go:525
        	            	github.com/findonflow/find.TestMarketAuctionSoft.func12
        	            		/Users/bjartek/dev/find/market_auction_soft_test.go:169
        	            	testing.tRunner
        	            		/opt/homebrew/Cellar/go/1.21.6/libexec/src/testing/testing.go:1595
        	            	runtime.goexit
        	            		/opt/homebrew/Cellar/go/1.21.6/libexec/src/runtime/asm_arm64.s:1197
        	Test:       	TestMarketAuctionSoft
    test_utils.go:532: 
        	Error Trace:	/Users/bjartek/go/pkg/mod/github.com/bjartek/overflow@v1.14.1-0.20240201172206-df28bd63430b/result.go:208
        	            				/Users/bjartek/dev/find/test_utils.go:532
        	            				/Users/bjartek/dev/find/market_auction_soft_test.go:169
        	Error:      	event not found FindMarketAuctionSoft.EnglishAuction, overflow.OverflowEvent{
        	            	  Id: "",
        	            	  Fields: map[string]interface {}{
        	            	    "amount": 15.0,
        	            	    "buyer": "0xe2f72218abeec2b9",
        	            	    "id": 9943947977234055170,
        	            	    "status": "active_ongoing",
        	            	  },
        	            	  TransactionId: "",
        	            	  EventIndex: 0,
        	            	  Name: "",
        	            	  Addresses: map[string][]string(nil),
        	            	}
        	Test:       	TestMarketAuctionSoft
    test_utils.go:532: === Events ===
    test_utils.go:491: 
        	Error Trace:	/Users/bjartek/dev/find/test_utils.go:491
        	            				/Users/bjartek/dev/find/market_auction_soft_test.go:171
        	Error:      	Not equal: 
        	            	expected: "finished_completed"
        	            	actual  : "active_listed"
        	            	
        	            	Diff:
        	            	--- Expected
        	            	+++ Actual
        	            	@@ -1 +1 @@
        	            	-finished_completed
        	            	+active_listed
        	Test:       	TestMarketAuctionSoft
    test_utils.go:492: 
        	Error Trace:	/Users/bjartek/dev/find/test_utils.go:492
        	            				/Users/bjartek/dev/find/market_auction_soft_test.go:171
        	Error:      	Not equal: 
        	            	expected: 15
        	            	actual  : 10
        	Test:       	TestMarketAuctionSoft
    test_utils.go:853: 
        	Error Trace:	/Users/bjartek/go/pkg/mod/github.com/bjartek/overflow@v1.14.1-0.20240201172206-df28bd63430b/result.go:167
        	            				/Users/bjartek/dev/find/test_utils.go:853
        	            				/Users/bjartek/dev/find/market_auction_soft_test.go:181
        	Error:      	Received unexpected error:
        	            	execution error code 1: [Error Code: 1101] error caused by: 1 error occurred:
        	            		* transaction execute failed: [Error Code: 1101] cadence runtime error: Execution failed:
        	            	error: panic: This account does not have a bid collection
        	            	  --> e766b6f46c21c370921b9169e0d92a66a873a100ee6d684139722611bfde6084:19:117
        	            	   |
        	            	19 |         self.bidsReference= account.storage.borrow<&FindMarketAuctionSoft.MarketBidCollection>(from: storagePath) ?? panic("This account does not have a bid collection")
        	            	   |                                                                                                                      ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
        	            	
        	            	
        	            	
        	            	transaction=./transactions/fulfillMarketAuctionSoftDapper.cdc
        	            	github.com/bjartek/overflow.OverflowInteractionBuilder.Send
        	            		/Users/bjartek/go/pkg/mod/github.com/bjartek/overflow@v1.14.1-0.20240201172206-df28bd63430b/interaction_builder.go:638
        	            	github.com/bjartek/overflow.(*OverflowState).Tx
        	            		/Users/bjartek/go/pkg/mod/github.com/bjartek/overflow@v1.14.1-0.20240201172206-df28bd63430b/state.go:585
        	            	github.com/findonflow/find.(*OverflowTestUtils).fulfillMarketAuctionSoft
        	            		/Users/bjartek/dev/find/test_utils.go:847
        	            	github.com/findonflow/find.TestMarketAuctionSoft.func12
        	            		/Users/bjartek/dev/find/market_auction_soft_test.go:181
        	            	testing.tRunner
        	            		/opt/homebrew/Cellar/go/1.21.6/libexec/src/testing/testing.go:1595
        	            	runtime.goexit
        	            		/opt/homebrew/Cellar/go/1.21.6/libexec/src/runtime/asm_arm64.s:1197
        	Test:       	TestMarketAuctionSoft
    test_utils.go:854: 
        	Error Trace:	/Users/bjartek/go/pkg/mod/github.com/bjartek/overflow@v1.14.1-0.20240201172206-df28bd63430b/result.go:208
        	            				/Users/bjartek/dev/find/test_utils.go:854
        	            				/Users/bjartek/dev/find/market_auction_soft_test.go:181
        	Error:      	event not found FindMarketAuctionSoft.EnglishAuction, overflow.OverflowEvent{
        	            	  Id: "",
        	            	  Fields: map[string]interface {}{
        	            	    "amount": 15.0,
        	            	    "buyer": "0xe2f72218abeec2b9",
        	            	    "id": 9943947977234055170,
        	            	    "status": "sold",
        	            	  },
        	            	  TransactionId: "",
        	            	  EventIndex: 0,
        	            	  Name: "",
        	            	  Addresses: map[string][]string(nil),
        	            	}
        	Test:       	TestMarketAuctionSoft
    test_utils.go:854: === Events ===
    test_utils.go:531: 
        	Error Trace:	/Users/bjartek/go/pkg/mod/github.com/bjartek/overflow@v1.14.1-0.20240201172206-df28bd63430b/result.go:167
        	            				/Users/bjartek/dev/find/test_utils.go:531
        	            				/Users/bjartek/dev/find/market_auction_soft_test.go:188
        	Error:      	Received unexpected error:
        	            	execution error code 1: [Error Code: 1101] error caused by: 1 error occurred:
        	            		* transaction execute failed: [Error Code: 1101] cadence runtime error: Execution failed:
        	            	  --> 9c70ac15810a10d167bf96b7d4a5dbc542476d76e28a7e034f59f73a012d968d:79:16
        	            	   |
        	            	79 | 		self.pointer= FindViews.createViewReadPointer(address: address, path:nft.publicPath, id: item.getItemID())
        	            	   | 		              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
        	            	
        	            	error: unexpectedly found nil while forcing an Optional value
        	            	   --> 179b6b1cb6755e31.FindViews:351:17
        	            	    |
        	            	351 |         let cap=	getAccount(address).capabilities.get<&{ViewResolver.ResolverCollection}>(path)!
        	            	    |                 	^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
        	            	
        	            	
        	            	
